name,group,entity,window,range,missing,purpose,spec_ref,config,observed_min,observed_max,missing_rate,n_unique
amt_card_cv_1200s,amount,card_fingerprint,1200,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR card amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.34809104291691223,1.304898484359952,0.9998745019295329,4
amt_device_mean_1200s,amount,device_fingerprint,1200,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window mean of PRIOR device amounts (baseline for deviation),AMOUNT.window_mean,windows_s,4.050000000046566,12504.240000000224,0.9349606249803909,2063
amt_device_median_1200s,amount,device_fingerprint,1200,"[0, inf)",NaN when there is no prior transaction for this entity in the window,causal window median of PRIOR device amounts (outlier-robust baseline),AMOUNT.window_median,windows_s,4.05,12504.24,0.9349606249803909,1938
amt_device_std_1200s,amount,device_fingerprint,1200,"[0, inf)",NaN with fewer than 3 prior transactions in the window,causal window standard deviation of PRIOR device amounts,AMOUNT.window_std,windows_s;min_history,2.8276669006083544,1672.2784340027315,0.9860383396605277,445
amt_device_dev_1200s,amount,device_fingerprint,1200,"(-inf, inf)",NaN when the prior mean is undefined,current amount minus the prior device window mean (absolute deviation form),AMOUNT.historical_deviation_device,windows_s,-12114.220000000223,6583.2800000001025,0.9349606249803909,2073
amt_device_z_1200s,amount,device_fingerprint,1200,"(-inf, inf)",NaN with fewer than 3 prior transactions in the window,(amount - prior device mean) / prior device std (scale-free deviation form),AMOUNT.historical_deviation_device,windows_s;min_history,-32.40915550746173,206.80300069085763,0.9860383396605277,445
amt_device_cv_1200s,amount,device_fingerprint,1200,"[0, inf)","NaN with fewer than 3 prior transactions, or a non-positive prior mean","coefficient of variation of PRIOR device amounts (std/mean): amount similarity/clustering, low values mean repeated near-identical amounts",AMOUNT.similarity_cv,windows_s;min_history;eps,0.01826505877489285,2.011684661122613,0.9860383396605277,445
amt_card_low_value_ratio_1200s,amount,card_fingerprint,1200,"[0, 1]",NaN with fewer than 3 prior card transactions in the window,"fraction of PRIOR card transactions in the window below cfg.low_value_amount=5.0 (card-testing probe behaviour). The threshold is a documented project ASSUMPTION, not a data-derived value.",AMOUNT.low_value_ratio,windows_s;min_history;low_value_amount,0.0,0.0,0.9998745019295329,1
dev_reuse_prior_total,device,device_fingerprint,,"[0, inf)",never missing; 0 means first sighting of this device,count of ALL PRIOR occurrences of this device fingerprint (device reuse). Unwindowed but strictly causal: only rows earlier in the causal order count.,DEVICE.reuse,,0.0,8.0,0.0,9
dev_distinct_cards_30s,device,device_fingerprint,30,"[0, inf)",never missing; 0 means no prior card seen on this device in the window,distinct PRIOR cards seen on this device inside the window (cards per device). One device presenting many cards is the core card-testing coupling.,DEVICE.distinct_cards,windows_s,0.0,6.0,0.0,7
dev_distinct_cards_120s,device,device_fingerprint,120,"[0, inf)",never missing; 0 means no prior card seen on this device in the window,distinct PRIOR cards seen on this device inside the window (cards per device). One device presenting many cards is the core card-testing coupling.,DEVICE.distinct_cards,windows_s,0.0,6.0,0.0,7
dev_distinct_cards_300s,device,device_fingerprint,300,"[0, inf)",never missing; 0 means no prior card seen on this device in the window,distinct PRIOR cards seen on this device inside the window (cards per device). One device presenting many cards is the core card-testing coupling.,DEVICE.distinct_cards,windows_s,0.0,6.0,0.0,7
dev_distinct_cards_1200s,device,device_fingerprint,1200,"[0, inf)",never missing; 0 means no prior card seen on this device in the window,distinct PRIOR cards seen on this device inside the window (cards per device). One device presenting many cards is the core card-testing coupling.,DEVICE.distinct_cards,windows_s,0.0,6.0,0.0,7
bin_txn_count_30s,bin,bin,30,"[0, inf)",never missing; 0 means no prior transaction on this BIN in the window,prior transactions on this issuer BIN inside the window (BIN activity),BIN.activity,windows_s,0.0,64.0,0.0,65
bin_distinct_cards_30s,bin,bin,30,"[0, inf)",never missing; 0 means no prior card on this BIN in the window,distinct prior cards on this BIN inside the window (cards per BIN),BIN.distinct_cards,windows_s,0.0,51.0,0.0,52
bin_distinct_merchants_30s,bin,bin,30,"[0, inf)",never missing; 0 means no prior merchant on this BIN in the window,distinct prior merchants touched by this BIN inside the window (merchants per BIN),BIN.distinct_merchants,windows_s,0.0,64.0,0.0,65
dev_distinct_bins_30s,bin,device_fingerprint,30,"[0, inf)",never missing; 0 means no prior BIN seen on this device in the window,"distinct prior BINs presented by THIS device inside the window (BIN overlap, device side)",BIN.overlap_device,windows_s,0.0,4.0,0.0,5
ip_distinct_bins_30s,bin,ip_signature,30,"[0, inf)",never missing; 0 means no prior BIN seen from this IP in the window,"distinct prior BINs seen from THIS ip_signature inside the window (BIN overlap, IP side)",BIN.overlap_ip,windows_s,0.0,4.0,0.0,5
bin_txn_count_120s,bin,bin,120,"[0, inf)",never missing; 0 means no prior transaction on this BIN in the window,prior transactions on this issuer BIN inside the window (BIN activity),BIN.activity,windows_s,0.0,84.0,0.0,85
bin_distinct_cards_120s,bin,bin,120,"[0, inf)",never missing; 0 means no prior card on this BIN in the window,distinct prior cards on this BIN inside the window (cards per BIN),BIN.distinct_cards,windows_s,0.0,62.0,0.0,63
bin_distinct_merchants_120s,bin,bin,120,"[0, inf)",never missing; 0 means no prior merchant on this BIN in the window,distinct prior merchants touched by this BIN inside the window (merchants per BIN),BIN.distinct_merchants,windows_s,0.0,84.0,0.0,85
dev_distinct_bins_120s,bin,device_fingerprint,120,"[0, inf)",never missing; 0 means no prior BIN seen on this device in the window,"distinct prior BINs presented by THIS device inside the window (BIN overlap, device side)",BIN.overlap_device,windows_s,0.0,4.0,0.0,5
ip_distinct_bins_120s,bin,ip_signature,120,"[0, inf)",never missing; 0 means no prior BIN seen from this IP in the window,"distinct prior BINs seen from THIS ip_signature inside the window (BIN overlap, IP side)",BIN.overlap_ip,windows_s,0.0,6.0,0.0,7
bin_txn_count_300s,bin,bin,300,"[0, inf)",never missing; 0 means no prior transaction on this BIN in the window,prior transactions on this issuer BIN inside the window (BIN activity),BIN.activity,windows_s,0.0,85.0,0.0,86
bin_distinct_cards_300s,bin,bin,300,"[0, inf)",never missing; 0 means no prior card on this BIN in the window,distinct prior cards on this BIN inside the window (cards per BIN),BIN.distinct_cards,windows_s,0.0,63.0,0.0,64
bin_distinct_merchants_300s,bin,bin,300,"[0, inf)",never missing; 0 means no prior merchant on this BIN in the window,distinct prior merchants touched by this BIN inside the window (merchants per BIN),BIN.distinct_merchants,windows_s,0.0,84.0,0.0,85
dev_distinct_bins_300s,bin,device_fingerprint,300,"[0, inf)",never missing; 0 means no prior BIN seen on this device in the window,"distinct prior BINs presented by THIS device inside the window (BIN overlap, device side)",BIN.overlap_device,windows_s,0.0,4.0,0.0,5
ip_distinct_bins_300s,bin,ip_signature,300,"[0, inf)",never missing; 0 means no prior BIN seen from this IP in the window,"distinct prior BINs seen from THIS ip_signature inside the window (BIN overlap, IP side)",BIN.overlap_ip,windows_s,0.0,8.0,0.0,9
bin_txn_count_1200s,bin,bin,1200,"[0, inf)",never missing; 0 means no prior transaction on this BIN in the window,prior transactions on this issuer BIN inside the window (BIN activity),BIN.activity,windows_s,0.0,87.0,0.0,88
bin_distinct_cards_1200s,bin,bin,1200,"[0, inf)",never missing; 0 means no prior card on this BIN in the window,distinct prior cards on this BIN inside the window (cards per BIN),BIN.distinct_cards,windows_s,0.0,64.0,0.0,65
bin_distinct_merchants_1200s,bin,bin,1200,"[0, inf)",never missing; 0 means no prior merchant on this BIN in the window,distinct prior merchants touched by this BIN inside the window (merchants per BIN),BIN.distinct_merchants,windows_s,0.0,86.0,0.0,87
dev_distinct_bins_1200s,bin,device_fingerprint,1200,"[0, inf)",never missing; 0 means no prior BIN seen on this device in the window,"distinct prior BINs presented by THIS device inside the window (BIN overlap, device side)",BIN.overlap_device,windows_s,0.0,4.0,0.0,5
ip_distinct_bins_1200s,bin,ip_signature,1200,"[0, inf)",never missing; 0 means no prior BIN seen from this IP in the window,"distinct prior BINs seen from THIS ip_signature inside the window (BIN overlap, IP side)",BIN.overlap_ip,windows_s,0.0,16.0,0.0,17
mer_txn_count_30s,merchant,merchant_id,30,"[0, inf)",never missing; 0 means no prior transaction at this merchant in the window,"prior transactions at THIS merchant inside the window. Emitted as the scale for the related-entity counts below, which are raw counts and are not interpretable without the merchant's own window volume.",CONTEXT.merchant_window_txn_count,windows_s,0.0,8.0,0.0,9
card_distinct_merchants_30s,merchant,card_fingerprint,30,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this card inside the window (cross-merchant reach),MERCHANT.distinct_merchants_card,windows_s,0.0,3.0,0.0,4
card_merchant_spread_30s,merchant,card_fingerprint,30,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this card: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,1.0,1.0,0.9974586640730398,1
card_merchant_entropy_30s,merchant,card_fingerprint,30,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this card's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,1.0,1.0,0.9974586640730398,1
device_distinct_merchants_30s,merchant,device_fingerprint,30,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this device inside the window (cross-merchant reach),MERCHANT.distinct_merchants_device;DEVICE.distinct_merchants,windows_s,0.0,6.0,0.0,7
device_merchant_spread_30s,merchant,device_fingerprint,30,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this device: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,1.0,1.0,0.9843754902268378,1
device_merchant_entropy_30s,merchant,device_fingerprint,30,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this device's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,1.0,1.0,0.9843754902268378,1
ip_distinct_merchants_30s,merchant,ip_signature,30,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this ip inside the window (cross-merchant reach),MERCHANT.distinct_merchants_ip,windows_s,0.0,8.0,0.0,9
ip_merchant_spread_30s,merchant,ip_signature,30,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this ip: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,0.5,1.0,0.9805477990775892,2
ip_merchant_entropy_30s,merchant,ip_signature,30,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this ip's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,1.0,1.0,0.9806105481128228,1
merchant_related_devices_30s,merchant,merchant_id,30,"[0, inf)",never missing; 0 means no such device at this merchant in the window,"distinct devices with prior activity at THIS merchant inside the window that also touched at least 2 distinct merchants inside the same window. Behavioural precursor to the graph layer; a raw count, pair it with mer_txn_count.",MERCHANT.related_entities,windows_s;related_entity_min_merchants,0.0,1.0,0.0,2
merchant_related_ips_30s,merchant,merchant_id,30,"[0, inf)",never missing; 0 means no such IP at this merchant in the window,same measure for ip_signature: distinct IPs with prior activity at this merchant inside the window that also touched at least 2 distinct merchants.,MERCHANT.related_entities,windows_s;related_entity_min_merchants,0.0,1.0,0.0,2
mer_txn_count_120s,merchant,merchant_id,120,"[0, inf)",never missing; 0 means no prior transaction at this merchant in the window,"prior transactions at THIS merchant inside the window. Emitted as the scale for the related-entity counts below, which are raw counts and are not interpretable without the merchant's own window volume.",CONTEXT.merchant_window_txn_count,windows_s,0.0,21.0,0.0,22
card_distinct_merchants_120s,merchant,card_fingerprint,120,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this card inside the window (cross-merchant reach),MERCHANT.distinct_merchants_card,windows_s,0.0,3.0,0.0,4
card_merchant_spread_120s,merchant,card_fingerprint,120,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this card: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,1.0,1.0,0.9967684246854704,1
card_merchant_entropy_120s,merchant,card_fingerprint,120,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this card's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,1.0,1.0,0.9967684246854704,1
device_distinct_merchants_120s,merchant,device_fingerprint,120,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this device inside the window (cross-merchant reach),MERCHANT.distinct_merchants_device;DEVICE.distinct_merchants,windows_s,0.0,6.0,0.0,7
device_merchant_spread_120s,merchant,device_fingerprint,120,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this device: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,1.0,1.0,0.9805164245599723,1
device_merchant_entropy_120s,merchant,device_fingerprint,120,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this device's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,1.0,1.0,0.9805164245599723,1
ip_distinct_merchants_120s,merchant,ip_signature,120,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this ip inside the window (cross-merchant reach),MERCHANT.distinct_merchants_ip,windows_s,0.0,8.0,0.0,9
ip_merchant_spread_120s,merchant,ip_signature,120,"[0, 1]",NaN with fewer than 2 prior transactions for this entity in the window,"distinct prior merchants divided by prior transactions for this ip: 1.0 means every attempt hit a different merchant, low values mean repeated activity at the same merchant. Zero denominator is explicitly NaN.",MERCHANT.cross_merchant_spread,windows_s;min_prior_for_ratio;eps,0.5,1.0,0.9735512816490447,5
ip_merchant_entropy_120s,merchant,ip_signature,120,"[0, 1]",NaN with fewer than 2 distinct prior merchants for this entity,normalised Shannon entropy of this ip's prior transactions across distinct merchants inside the window (entity -> merchant dispersion). High = evenly spread across merchants; low = concentrated on one merchant.,MERCHANT.dispersion_entropy,windows_s;min_distinct_for_entropy,0.9182958340544898,1.0,0.973802277789979,5
merchant_related_devices_120s,merchant,merchant_id,120,"[0, inf)",never missing; 0 means no such device at this merchant in the window,"distinct devices with prior activity at THIS merchant inside the window that also touched at least 2 distinct merchants inside the same window. Behavioural precursor to the graph layer; a raw count, pair it with mer_txn_count.",MERCHANT.related_entities,windows_s;related_entity_min_merchants,0.0,2.0,0.0,3
merchant_related_ips_120s,merchant,merchant_id,120,"[0, inf)",never missing; 0 means no such IP at this merchant in the window,same measure for ip_signature: distinct IPs with prior activity at this merchant inside the window that also touched at least 2 distinct merchants.,MERCHANT.related_entities,windows_s;related_entity_min_merchants,0.0,2.0,0.0,3
mer_txn_count_300s,merchant,merchant_id,300,"[0, inf)",never missing; 0 means no prior transaction at this merchant in the window,"prior transactions at THIS merchant inside the window. Emitted as the scale for the related-entity counts below, which are raw counts and are not interpretable without the merchant's own window volume.",CONTEXT.merchant_window_txn_count,windows_s,0.0,38.0,0.0,39
card_distinct_merchants_300s,merchant,card_fingerprint,300,"[0, inf)",never missing; 0 means no prior merchant for this entity in the window,distinct prior merchants touched by this card inside the window (cross-merchant reach),MERCHANT.distinct_merchants_card,windows_s,0.0,3.0,0.0,4
